Antecedent,Consequent,Support,Confidence,Lift
,-Size,0.3756405202995664,0.3756405202995664,1.0
HighHunksCount,-Size,0.10997240835632636,0.3290094339622642,0.8758624700548419
LowChangeSet,-Size,0.10957824201813166,0.3432098765432099,0.9136657468941485
LowCodeChurn,-Size,0.12337406385494679,0.3155241935483871,0.8399631469383612
MajorContributor,-Size,0.32124556562869533,0.48948948948948956,1.3030795748529225
"LowChangeSet, +Contributor",-Complexity,0.022861647615293655,0.3972602739726028,5.537633599277435
"LowChangeSet, +Contributor",-Coupling,0.023649980291683092,0.4109589041095891,2.385818626375349
"MajorContributor, +Contributor",-Coupling,0.012613322822230981,0.42666666666666664,2.477009916094584
"LowChangeSet, +Contributor",-Size,0.025226645644461962,0.4383561643835616,1.1669565467377712
"LowChangeSet, MajorContributor",+Size,0.0847457627118644,0.3194650817236256,2.0728463231018877
"MinorContributor, LowChangeSet",-Complexity,0.0216791486007095,0.40145985401459855,5.596173899093607
"MinorContributor, LowChangeSet",-Coupling,0.02207331493890422,0.4087591240875913,2.373047821076016
"HighHunksCount, LowChangeSet",-Size,0.04375246353961372,0.39084507042253525,1.0404763312297711
"LowCodeChurn, HighHunksCount",-Size,0.053212455656286954,0.3835227272727273,1.0209833778498523
"HighHunksCount, MajorContributor",-Size,0.09459992116673237,0.4597701149425288,1.2239630447105934
"LowChangeSet, MajorContributor",-Size,0.086716594402838,0.32689450222882616,0.8702322687875467
"MinorContributor, LowChangeSet",-Size,0.022861647615293655,0.4233576642335767,1.1270287451842436
"LowCodeChurn, MajorContributor",-Size,0.1194324004729996,0.4100135317997294,1.0915050683902554
"LowChangeSet, +Contributor","-Complexity, -Coupling",0.01931415057154119,0.3356164383561644,5.831910302120473
"LowChangeSet, +Contributor","-Complexity, -Size",0.022861647615293655,0.3972602739726028,5.568228260046923
"MinorContributor, LowChangeSet, +Contributor",-Complexity,0.02089081592432006,0.39849624060150374,5.55486243080228
"LowChangeSet, +Contributor","-Size, -Coupling",0.019708316909735908,0.3424657534246575,4.366008122805809
"MinorContributor, LowChangeSet, +Contributor",-Coupling,0.0216791486007095,0.41353383458646614,2.4007673646358456
"MinorContributor, LowChangeSet, +Contributor",-Size,0.02207331493890422,0.4210526315789474,1.1208924725244382
"HighHunksCount, LowChangeSet, MajorContributor",+Size,0.033504138746551046,0.3159851301115242,2.0502666882172296
"LowCodeChurn, LowChangeSet, MajorContributor",+Size,0.061095782420181315,0.33261802575107297,2.1581890826866292
"MinorContributor, LowChangeSet","-Complexity, -Coupling",0.018131651556957035,0.3357664233576642,5.8345165483451655
"MinorContributor, LowChangeSet","-Complexity, -Size",0.0216791486007095,0.40145985401459855,5.627091986933903
"MinorContributor, LowChangeSet","-Size, -Coupling",0.018131651556957035,0.3357664233576642,4.280600080695447
"LowCodeChurn, HighHunksCount, LowChangeSet",-Size,0.02798581001182499,0.3879781420765027,1.032844225024226
"HighHunksCount, LowChangeSet, MajorContributor",-Size,0.04099329917225069,0.38661710037174724,1.029220969195302
"LowCodeChurn, HighHunksCount, MajorContributor",-Size,0.0520299566417028,0.48175182481751827,1.2824809858993116
"LowCodeChurn, LowChangeSet, MajorContributor",-Size,0.057154119038234134,0.3111587982832618,0.8283419425442132
"LowChangeSet, +Contributor","-Complexity, -Size, -Coupling",0.01931415057154119,0.3356164383561644,5.831910302120473
"MinorContributor, LowChangeSet, +Contributor","-Complexity, -Coupling",0.017737485218762318,0.33834586466165417,5.879338757853539
"MinorContributor, LowChangeSet, +Contributor","-Complexity, -Size",0.02089081592432006,0.39849624060150374,5.58555227848627
"MinorContributor, LowChangeSet, +Contributor","-Size, -Coupling",0.017737485218762318,0.33834586466165417,4.313484716817169
"LowCodeChurn, HighHunksCount, LowChangeSet, MajorContributor",+Size,0.02089081592432006,0.3081395348837209,1.9993606138107416
"MinorContributor, LowChangeSet","-Complexity, -Size, -Coupling",0.018131651556957035,0.3357664233576642,5.8345165483451655
"LowCodeChurn, HighHunksCount, LowChangeSet, MajorContributor",-Size,0.026803310997240835,0.3953488372093023,1.0524658971668415
"MinorContributor, LowChangeSet, +Contributor","-Complexity, -Size, -Coupling",0.017737485218762318,0.33834586466165417,5.879338757853539
