Antecedent,Consequent,Support,Confidence,Lift
,+Coupling,0.32622388324178037,0.32622388324178037,1.0
,+Size,0.3982070654187541,0.3982070654187541,1.0
ExtractionRefactoring,+Complexity,0.020079900768400535,0.5163628831814416,2.2013775633029566
HighHunksCount,+Complexity,0.08521674694331234,0.3412242791717732,1.454720113875844
LowChangeSet,+Complexity,0.08952591136813957,0.3618635238963407,1.5427101142032236
+Contributor,+Coupling,0.12058411327867004,0.3433715596330275,1.0525641354668633
+Contributor,+Size,0.1399954894727516,0.3986467889908257,1.0011042585887047
+NumPullRequests,+Coupling,0.1141566119496754,0.3470542142122533,1.0638528692733222
+WordsInDiscussion,+Coupling,0.12527989432479017,0.3488304290295813,1.0692976417396334
+WordsPerComment,+Coupling,0.050952848881228155,0.38563764935381617,1.1821257399109597
-WordsPerComment,+Coupling,0.06330847173671408,0.32451178729201935,0.9947517761950859
ExtractionRefactoring,+Coupling,0.01813070863604878,0.4662386081193041,1.429198265578097
HighHunksCount,+Coupling,0.10845401678560497,0.4342707862994259,1.3312047603135382
LowChangeSet,+Coupling,0.09757236979879827,0.3943872900117203,1.2089467089061063
LowCodeChurn,+Coupling,0.08493483899028625,0.3125833703868386,0.9581866516963992
MajorContributor,+Coupling,0.22836960548995602,0.3583589276911993,1.0985061060829875
+NumPullRequests,+Size,0.12976625803437666,0.3945100151819384,0.9907157593175101
+WordsInDiscussion,+Size,0.1408009407671118,0.39204736594227274,0.9845314159104539
+WordsPerComment,+Size,0.05720315092546354,0.4329431845891246,1.0872312979525918
-WordsPerComment,+Size,0.06962320988449829,0.35688039304735564,0.8962181338295959
ExtractionRefactoring,+Size,0.028456594229746928,0.7317729908864955,1.8376695303408639
HighHunksCount,+Size,0.12830033667864105,0.5137392762691092,1.2901309918468211
LowChangeSet,+Size,0.13608099618216085,0.5500390675869253,1.3812890713239978
LowCodeChurn,+Size,0.1215103822671843,0.44719134430117086,1.1230120787307099
MajorContributor,+Size,0.29038130064275014,0.45566804433827524,1.144299245065115
RenameRefactoring,+Size,0.011743479871772154,0.4007696536558548,1.0064353158435446
ExtractionRefactoring,-Cohesion,0.016415097379061487,0.4221209610604805,2.9582301760839296
"HighHunksCount, +Contributor",+Complexity,0.02738534400824782,0.35335689045936397,1.5064443162589063
"LowChangeSet, +Contributor",+Complexity,0.030615203698632344,0.3933561005898789,1.676970445458273
"MajorContributor, +Contributor",+Complexity,0.05059039579876605,0.46139719385881145,1.9670457800407553
ExtractionRefactoring,"+Complexity, +Coupling",0.013805435185334343,0.35501242750621376,2.227308753580598
"HighHunksCount, +NumPullRequests",+Complexity,0.02955200799007684,0.3320061532892951,1.4154210547173665
"LowChangeSet, +NumPullRequests",+Complexity,0.025887204600737793,0.3561218836565097,1.5182321387092337
ExtractionRefactoring,"+Size, +Complexity",0.019000596033957828,0.48860811930405973,2.2816659436595415
HighHunksCount,"+Size, +Complexity",0.07709779789616122,0.3087144423659937,1.4416117981535181
LowChangeSet,"+Size, +Complexity",0.08197077822704062,0.33132569344966795,1.5472001408413916
"+WordsInDiscussion, HighHunksCount",+Complexity,0.03183143515311629,0.328730660455831,1.4014568511171361
"+WordsInDiscussion, LowChangeSet",+Complexity,0.026974563848124102,0.3611171015742937,1.5395279386324723
"HighHunksCount, +WordsPerComment",+Complexity,0.012718075937948032,0.3617411225658649,1.542188288271492
"MajorContributor, +WordsPerComment",+Complexity,0.026128839989045863,0.32754442649434573,1.3963996541095733
"-WordsPerComment, LowChangeSet",+Complexity,0.014554504889089357,0.3412653446647781,1.4548951858220884
"ExtractionRefactoring, HighHunksCount",+Complexity,0.013636290413518694,0.542106948447006,2.31113062555764
"ExtractionRefactoring, MajorContributor",+Complexity,0.017558838217053015,0.5422885572139304,2.3119048668476863
"HighHunksCount, LowChangeSet",+Complexity,0.029922515585482545,0.46086093536782036,1.9647595827778437
"LowCodeChurn, HighHunksCount",+Complexity,0.017301093802857742,0.3775043936731107,1.6093908554388912
"HighHunksCount, MajorContributor",+Complexity,0.07600238413583131,0.3824268460727892,1.6303764386828195
"LowCodeChurn, LowChangeSet",+Complexity,0.06160091499267039,0.32568240855086655,1.388461429545508
"LowChangeSet, MajorContributor",+Complexity,0.07116967636966992,0.4209623630300142,1.7946624963817177
"LowCodeChurn, MajorContributor",+Complexity,0.054118272468063854,0.32030318920722695,1.3655285403761435
"+NumPullRequests, +Contributor",+Coupling,0.04268891860109219,0.3600054340442874,1.1035532728836714
"+WordsInDiscussion, +Contributor",+Coupling,0.0392174235223996,0.37788125727590216,1.1583494547388364
"+WordsPerComment, +Contributor",+Coupling,0.02198076582309068,0.3958514650420656,1.213434961010138
"-WordsPerComment, +Contributor",+Coupling,0.015432446799942007,0.36405092152764584,1.1159542272318241
"HighHunksCount, +Contributor",+Coupling,0.03539958438713211,0.4567657451673249,1.4001603457978384
"LowChangeSet, +Contributor",+Coupling,0.03376451825958084,0.4338197247231708,1.3298220854101168
"LowCodeChurn, +Contributor",+Coupling,0.03109041996230488,0.34461208820641015,1.0563668263092847
"MajorContributor, +Contributor",+Coupling,0.05336920276430884,0.4867406155880409,1.492044698723955
"+NumPullRequests, +Contributor",+Size,0.04862509464052709,0.4100665670425214,1.0297822481158034
"+WordsInDiscussion, +Contributor",+Size,0.042560046393994556,0.4100892510671323,1.029839213515418
"+WordsPerComment, +Contributor",+Size,0.023648050002416352,0.4258775747026399,1.0694877406426417
"-WordsPerComment, +Contributor",+Size,0.01652786056027192,0.3898916967509025,0.9791179780823146
