Antecedent,Consequent,Support,Confidence,Lift
,+Size,0.3460414452709883,0.3460414452709883,1.0
+WordsInDiscussion,+Complexity,0.011291179596174282,0.46961325966850825,2.101812496304715
ExtractionRefactoring,+Complexity,0.021785334750265676,0.6693877551020407,2.995928073964425
HighHunksCount,+Complexity,0.089798087141339,0.4142156862745098,1.8538737730526216
LowChangeSet,+Complexity,0.11131774707757705,0.4429175475687104,1.9823325196773198
LowCodeChurn,+Complexity,0.0960414452709883,0.34995159728944825,1.5662518575475424
MajorContributor,+Complexity,0.18278427205100956,0.3772964080065807,1.6886369556917595
ExtractionRefactoring,+Coupling,0.01567481402763018,0.4816326530612245,2.175003366673604
HighHunksCount,+Coupling,0.08063230605738576,0.37193627450980393,1.6796258395379748
LowChangeSet,+Coupling,0.09351753453772582,0.37209302325581395,1.6803337007017203
MajorContributor,+Coupling,0.15435706695005313,0.3186180422264875,1.4388462038878211
+NumPullRequests,+Size,0.012353878852284804,0.5314285714285715,1.5357367699479025
+WordsInDiscussion,+Size,0.013947927736450585,0.5801104972375691,1.6764191259901806
+WordsPerComment,+Size,0.010759829968119023,0.54,1.560506717850288
ExtractionRefactoring,+Size,0.025770456960680126,0.7918367346938774,2.288271377648948
HighHunksCount,+Size,0.125,0.5765931372549019,1.6662545632456438
LowChangeSet,+Size,0.15435706695005313,0.6141649048625794,1.7748304813072928
LowCodeChurn,+Size,0.1453241232731137,0.5295256534365924,1.530237665670122
MajorContributor,+Size,0.2635494155154091,0.5440087743350699,1.572091383184033
ExtractionRefactoring,-Cohesion,0.016339001062699258,0.5020408163265306,3.920501312558218
"+WordsInDiscussion, +Contributor",+Complexity,0.011158342189160468,0.4666666666666667,2.0886246531906463
"HighHunksCount, +Contributor",+Complexity,0.04901700318809777,0.3863874345549739,1.729324974631298
"LowChangeSet, +Contributor",+Complexity,0.05924548352816153,0.48268398268398266,2.160312141287171
"LowCodeChurn, +Contributor",+Complexity,0.048884165781083955,0.37398373983739835,1.6738106976789149
"MajorContributor, +Contributor",+Complexity,0.0871413390010627,0.37809798270893374,1.6922245028732779
ExtractionRefactoring,"+Complexity, +Coupling",0.01248671625929862,0.3836734693877551,3.2416317368698317
+WordsInDiscussion,"+Size, +Complexity",0.010361317747077577,0.430939226519337,2.3040557508789554
ExtractionRefactoring,"+Size, +Complexity",0.020191285866099893,0.620408163265306,3.3170686456400738
HighHunksCount,"+Size, +Complexity",0.07492029755579172,0.34558823529411764,1.8477189171122994
LowChangeSet,"+Size, +Complexity",0.09936238044633369,0.39534883720930236,2.113768498942918
LowCodeChurn,"+Size, +Complexity",0.08461742826780021,0.308325266214908,1.6484890653876616
MajorContributor,"+Size, +Complexity",0.15807651434643996,0.32629558541266795,1.7445690106438667
ExtractionRefactoring,"-Cohesion, +Complexity",0.013150903294367694,0.4040816326530612,4.658386723755352
"ExtractionRefactoring, HighHunksCount",+Complexity,0.01461211477151966,0.6707317073170731,3.0019430990980536
"ExtractionRefactoring, LowChangeSet",+Complexity,0.013283740701381509,0.6802721088435375,3.0446423515898635
"ExtractionRefactoring, MajorContributor",+Complexity,0.020058448459086078,0.6832579185520362,3.05800571394752
"HighHunksCount, LowChangeSet",+Complexity,0.0405154091392136,0.5369718309859154,2.4032841519987937
"LowCodeChurn, HighHunksCount",+Complexity,0.026700318809776833,0.47857142857142854,2.1419058943434686
"HighHunksCount, MajorContributor",+Complexity,0.08076514346439957,0.45070422535211263,2.0171827636448896
"LowCodeChurn, LowChangeSet",+Complexity,0.0810308182784272,0.4178082191780822,1.8699526004593359
"LowChangeSet, MajorContributor",+Complexity,0.08873538788522849,0.5387096774193549,2.4110620996509535
