Antecedent,Consequent,Support,Confidence,Lift
,+Coupling,0.30134390075809786,0.30134390075809786,1.0
,+Size,0.39145416953824946,0.39145416953824946,1.0
+Contributor,+Complexity,0.06995175740868366,0.34969853574504733,1.19110933184522
+NumPullRequests,+Complexity,0.0954514128187457,0.3526416295353278,1.2011338132764333
+WordsPerComment,+Complexity,0.06495520330806341,0.3028112449799197,1.0314063766804307
ExtractionRefactoring,+Complexity,0.022742935906271536,0.584070796460177,1.9894054593044996
HighHunksCount,+Complexity,0.09045485871812543,0.3707627118644068,1.2628560913503621
LowChangeSet,+Complexity,0.12250172294968988,0.5144717800289436,1.7523440207089134
LowCodeChurn,+Complexity,0.09924190213645762,0.3832335329341317,1.3053329959798712
MajorContributor,+Complexity,0.24259131633356307,0.3137254901960784,1.0685814231796005
RenameRefactoring,+Complexity,0.01912474155754652,0.46443514644351463,1.581914078613943
+Contributor,+Coupling,0.06702274293590627,0.3350559862187769,1.1118724665601951
+Contributor,+Size,0.09338387319090283,0.46683893195521103,1.1925762152588226
+NumPullRequests,+Coupling,0.09424534803583735,0.3481858688733291,1.155443557999315
+WordsInDiscussion,+Coupling,0.19676085458304618,0.3199775847576352,1.061835278406698
+WordsPerComment,+Coupling,0.06719503790489317,0.3132530120481927,1.0395200011021788
-WordsPerComment,+Coupling,0.12439696760854584,0.3231871083258729,1.0724859786868874
ExtractionRefactoring,+Coupling,0.01791867677463818,0.4601769911504425,1.5270824794952365
HighHunksCount,+Coupling,0.08804272915230875,0.36087570621468923,1.1975543732819076
LowChangeSet,+Coupling,0.0957960027567195,0.4023154848046309,1.3350709398548186
LowCodeChurn,+Coupling,0.08442453480358374,0.3260146373918829,1.0818690425514514
MajorContributor,+Coupling,0.24224672639558925,0.3132798573975044,1.0396090865266527
RenameRefactoring,+Coupling,0.014817367332873881,0.3598326359832636,1.1940929784144436
+NumPullRequests,+Size,0.12267401791867677,0.45321451304901333,1.1577715817502083
+WordsInDiscussion,+Size,0.24086836664369402,0.39170636032502104,1.000644240900714
+WordsPerComment,+Size,0.08201240523776705,0.38232931726907626,0.9766898580236438
-WordsPerComment,+Size,0.15161957270847692,0.39391226499552373,1.0062793952614524
ExtractionRefactoring,+Size,0.02929014472777395,0.752212389380531,1.921584818646392
HighHunksCount,+Size,0.12146795313576844,0.4978813559322034,1.2718764920028647
LowChangeSet,+Size,0.14283252929014473,0.5998552821997105,1.5323767860418662
LowCodeChurn,+Size,0.12456926257753273,0.48103792415169655,1.2288486407466757
MajorContributor,+Size,0.31702274293590627,0.40998217468805703,1.047331224423188
MinorContributor,+Size,0.07443142660234321,0.3282674772036474,0.8385846996874866
RenameRefactoring,+Size,0.021536871123363197,0.5230125523012552,1.336076079910425
ExtractionRefactoring,-Cohesion,0.016540317022742935,0.4247787610619469,2.9073301051928535
MoveRefactoring,-Size,0.012232942798070296,0.6893203883495146,3.7707969217536124
"+NumPullRequests, +Contributor",+Complexity,0.028256374913852515,0.36283185840707965,1.2358427853255225
+Contributor,"+Size, +Complexity",0.06150930392832529,0.3074935400516796,1.2550580214204983
"+WordsInDiscussion, +Contributor",+Complexity,0.035320468642315646,0.3451178451178451,1.1755070264459935
"+WordsPerComment, +Contributor",+Complexity,0.012232942798070296,0.33490566037735847,1.1407232704402515
"-WordsPerComment, +Contributor",+Complexity,0.021709166092350102,0.3529411764705882,1.2021541010770505
"HighHunksCount, +Contributor",+Complexity,0.015161957270847692,0.3776824034334764,1.2864252755445407
"LowChangeSet, +Contributor",+Complexity,0.03997243280496209,0.5167037861915367,1.7599464642345533
"LowCodeChurn, +Contributor",+Complexity,0.03428669882839421,0.44320712694877507,1.5096092516494664
"MajorContributor, +Contributor",+Complexity,0.03445899379738112,0.5434782608695653,1.851143090426618
ExtractionRefactoring,"+Complexity, +Coupling",0.012749827705031013,0.3274336283185841,1.8966315157296028
LowChangeSet,"+Complexity, +Coupling",0.07632667126119917,0.32054992764109985,1.8567582635019397
"+WordsInDiscussion, +NumPullRequests",+Complexity,0.05823569951757409,0.3718371837183719,1.2665158534632808
"+NumPullRequests, +WordsPerComment",+Complexity,0.02067539627842867,0.3726708074534162,1.2693552620068236
"-WordsPerComment, +NumPullRequests",+Complexity,0.031013094417643005,0.3495145631067961,1.1904827020374673
"HighHunksCount, +NumPullRequests",+Complexity,0.03273604410751206,0.4439252336448598,1.5120551972269756
"LowChangeSet, +NumPullRequests",+Complexity,0.04376292212267402,0.554585152838428,1.8889743116632842
"LowCodeChurn, +NumPullRequests",+Complexity,0.031874569262577535,0.4129464285714286,1.406538187458082
"+NumPullRequests, MajorContributor",+Complexity,0.07891109579600275,0.39585133967156433,1.348310548975211
ExtractionRefactoring,"+Size, +Complexity",0.020158511371467954,0.5176991150442478,2.113027892909152
HighHunksCount,"+Size, +Complexity",0.07460372157133012,0.3057909604519774,1.248108814671784
LowChangeSet,"+Size, +Complexity",0.10768435561681598,0.45224312590448623,1.8458643479252026
LowCodeChurn,"+Size, +Complexity",0.08476912474155755,0.3273453093812375,1.3360845117079483
RenameRefactoring,"+Size, +Complexity",0.016195727084769126,0.39330543933054396,1.6053057453407011
"+WordsInDiscussion, +WordsPerComment",+Complexity,0.06495520330806341,0.3028112449799197,1.0314063766804307
"ExtractionRefactoring, +WordsInDiscussion",+Complexity,0.015851137146795313,0.575,1.9585093896713615
"+WordsInDiscussion, HighHunksCount",+Complexity,0.06271536871123363,0.39608269858541895,1.3490985813320255
"+WordsInDiscussion, LowChangeSet",+Complexity,0.06564438318401103,0.5513748191027497,1.8780395833757975
