Antecedent,Consequent,Support,Confidence,Lift
,+Coupling,0.36304838971663145,0.36304838971663145,1.0
,+Size,0.41207306448516706,0.41207306448516706,1.0
ExtractionRefactoring,+Complexity,0.018915845897136782,0.5188335358444714,2.209945649469995
HighHunksCount,+Complexity,0.08924853442802085,0.33993250843644546,1.447925618203945
LowChangeSet,+Complexity,0.08664963600655631,0.3550768486022026,1.5124321821617563
MajorContributor,+Complexity,0.17564714047341298,0.3127793846962924,1.3322682376890131
+Contributor,+Coupling,0.14595177271451987,0.3894098179812466,1.072611335048727
+Contributor,+Size,0.1593006600611332,0.42502560869907813,1.0314326398161784
+NumPullRequests,+Coupling,0.1556828753267081,0.35958390177353344,0.9904572281788603
+WordsInDiscussion,+Coupling,0.1828827099422631,0.3592666724683085,0.9895834347281511
+WordsPerComment,+Coupling,0.07228186234698247,0.4036780471713673,1.1119125125067992
-WordsPerComment,+Coupling,0.09447586420755748,0.33093674028862563,0.9115499466804693
ExtractionRefactoring,+Coupling,0.01811845660873289,0.4969623329283111,1.3688597636149906
HighCodeChurn,+Coupling,0.07616544351087551,0.3326025277276245,0.9161382811454674
HighHunksCount,+Coupling,0.12479142363520916,0.4753093363329584,1.309217585853912
LowChangeSet,+Coupling,0.1004415174022829,0.4115938521118238,1.1337162311423095
LowCodeChurn,+Coupling,0.08735842648513754,0.32766546662974244,0.9025393746698442
MajorContributor,+Coupling,0.23395992380502356,0.41661845911122797,1.1475562787550424
+NumPullRequests,+Size,0.16931232557109316,0.39106412005457025,0.9490164579020839
+WordsInDiscussion,+Size,0.1958772020495858,0.38479389667275843,0.9338001675831676
+WordsPerComment,+Size,0.07637217406712836,0.42652152399802074,1.035062858405718
-WordsPerComment,+Size,0.10101740966613015,0.35385092846428384,0.8587091925223883
ExtractionRefactoring,+Size,0.027731427474490925,0.7606318347509113,1.8458664259000384
HighCodeChurn,+Size,0.06941716749604997,0.30313386639153983,0.7356313540421942
HighHunksCount,+Size,0.1394692931291623,0.531214848143982,1.2891278123399488
LowChangeSet,+Size,0.13685562823939398,0.5608132639477188,1.360955889335751
LowCodeChurn,+Size,0.12148373473516338,0.4556632511769593,1.1057826644074702
MajorContributor,+Size,0.27450864576719186,0.48882461214830397,1.1862571332077436
MinorContributor,+Size,0.13756441871797523,0.31376511400761176,0.7614307778151465
RenameRefactoring,+Size,0.011325881188996028,0.39272913466461856,0.953057038938674
ExtractionRefactoring,-Cohesion,0.01625788160245714,0.4459295261239369,3.0488433557434758
"HighHunksCount, +Contributor",+Complexity,0.030463224110689448,0.37177869886466036,1.5835728829368931
"LowChangeSet, +Contributor",+Complexity,0.029843032441930862,0.38694237028527667,1.648161787413625
"MajorContributor, +Contributor",+Complexity,0.05388284284047784,0.5155411133088443,2.195921739379096
ExtractionRefactoring,"+Complexity, +Coupling",0.014131510166713428,0.38760631834750914,2.2977142406172675
"HighHunksCount, +NumPullRequests",+Complexity,0.03817132056526041,0.3269668606121933,1.3926990859499557
"LowChangeSet, +NumPullRequests",+Complexity,0.030433691174081894,0.33948278702026025,1.4460100521919017
ExtractionRefactoring,"+Size, +Complexity",0.018192288950251767,0.49898744430943703,2.2937774040238517
HighHunksCount,"+Size, +Complexity",0.0822639949203349,0.31332958380202475,1.4403334743861607
LowChangeSet,"+Size, +Complexity",0.07984229411851568,0.32718141110976645,1.5040084402501015
"+WordsInDiscussion, HighHunksCount",+Complexity,0.04407790788677072,0.3195247270391779,1.3609996880193829
"+WordsInDiscussion, LowChangeSet",+Complexity,0.03465690110896177,0.34029288096273735,1.4494606070619245
